"№ 
п/п","Код материалов","Наименование и 
спецификация","","Версия","Кол-
во","Примечание"
"","","","","","",""
"","","","","","",""
"1","1140295448","Шланг в сборе","","А","1",""
"2","1140270045","Шланг в сборе","","А","1",""
"3","1140277910","Шланг в сборе","","А","2",""
"4","1011403126","Шланг в сборе","","А","2",""
"5","1140280485","Шланг в сборе","","А","2",""
"6","1011403130","Шланг в сборе","","А","1",""
"7","1140295456","Шланг в сборе","","А","1",""
"8","1140295450","Шланг в сборе","","А","2",""
"9","1140270044","Шланг в сборе","","А","2",""
"10","1140300683","Шланг в сборе","","А","3",""
"11","1140300682","Шланг в сборе","","А","1",""
"12","1140305904","Шланг в сборе","","А","1",""
"13","1140305981","Шланг в сборе","","А","1",""
"14","1140299788","Шланг в сборе","","А","1",""
"15","1011403129","Шланг в сборе","","А","1",""
"16","1140280462","Шланг в сборе","","А","1",""
"17","1140280456","Шланг в сборе","","А","1",""
"18","1011403131","Шланг в сборе","","А","1",""
"19","1011403132","Шланг в сборе","","А","1",""
"20","1140300687","Шланг в сборе","","А","1",""
"21","1140300691","Шланг в сборе","","А","1",""
"22","1140300689","Шланг в сборе","","А","1",""
"23","1011403116","Шланг в сборе","","А","1",""
"24","1011403117","Шланг в сборе","","А","1",""
"25","1011403118","Шланг в сборе","","А","2",""
"26","1140301706","Шланг в сборе","","А","1",""
"27","1140301705","Шланг в сборе","","А","1",""
"28","1011403121","Шланг в сборе","","А","1",""
"29","1011403122","Шланг в сборе","","А","1",""
"30","1140305986","Шланг в сборе","","А","2",""
"31","1140295452","Шланг в сборе","","А","1",""
"32","1140295451","Шланг в сборе","","А","1",""
"33","1011403109","Шланг в сборе","","А","1",""
"34","1011403111","Шланг в сборе","","А","1",""
"35","1140270071","Шланг в сборе","","А","1",""
