"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1140202392","Шланг в сборе","А","1",""
"2","1140221641","Шланг в сборе","А","1",""
"3","1140249655","Шланг в сборе","А","1",""
"4","1140252997","Шланг в сборе","А","1",""
"5","1140268310","Шланг в сборе","А","1",""
"6","1140212449","Шланг в сборе","А","1",""
"7","1140213116","Шланг в сборе","А","4",""
"8","1140265306","Шланг в сборе","А","1",""
"9","1140273597","Шланг в сборе","А","1",""
"10","1140251129","Шланг в сборе","А","1",""
"11","1140252807","Шланг в сборе","А","1",""
"12","1140265299","Шланг в сборе","А","2",""
"13","1140232600","Шланг в сборе","А","2",""
"14","1140258116","Шланг в сборе","А","2",""
"15","1140265302","Шланг в сборе","А","1",""
"16","1140213582","Шланг в сборе","А","1",""
"17","1140212123","Шланг в сборе","А","1",""
"18","1140238883","Шланг в сборе","А","1",""
"19","1140212192","Шланг в сборе","А","1",""
"20","1140258714","Шланг в сборе","А","1",""
"21","1140101516","Прямой соединитель типа 
перегородки","А","4",""
"22","1140101513","Тройник","А","1",""
