"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1140101464","Прямой соединитель","2","GE15LREDOMDCF"
"2","1140111237","Прямой соединитель","14","GE08LREDOMDCF"
"3","1140101523","Прямой соединитель","2","GE20SREDOMDCF"
"4","1140115070","Прямой удлиненный 
соединитель","1","GE20SREDOMDCF-L75"
"5","1140115071","Прямой удлиненный 
соединитель","1","GE20SREDOMDCF-L125"
"6","1040302490","Шайба","2","GB/T97.1-2002 12-200HV"
"7","1040301503","Шайба","2","GB/T93-198712"
"8","1040004608","Болт","2","GB/T5782-2000 M12×45-8.8"
"9","1140107801","Комбинированное 
соединение 45°","3","EV08LOMDCF"
"10","1140101534","Прямоугольный 
композитный штуцер","2","EW20SOMDCF"
"11","1140101478","Прямоугольный 
композитный штуцер","1","EW15LOMDCF"
"12","1140114650","Прямой соединитель","1","GE15LREDOMDCF-L110"
"13","1140101475","Прямоугольный 
композитный штуцер","3","EW08LOMDCF"
