"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"41","1040102017","Винт","А","8","GB/T70.1-2000"
"42","1040300771","Шайба","А","22","GB/T97.1-2002"
"43","1040004672","Болт","А","12","JB/T5783-2000"
"44","1029904911","Пружинящая шайба","А","12","GB93-304"
"45","1040300514","Шайба","А","12","GB/T97.1-2002"
"46","00773600130201010","Отбойный упор","B","1",""
"47","1101000163","Пружинная петля","А","2","D-10"
"48","1040300735","Шайба","А","10","GB/T96.1-2002"
"49","1040201896","Гайка","А","16","GB/T889.1-2015"
"50","02555400100201011","Упорная планка","C","1",""
"51","1040301515","Шайба","А","2","GB/T97.1-2002"
"52","02555400110230000","Вращающаяся дверь","А","1",""
"53","1040102372","Винт с цилиндрической головкой 
и внутренней шестигранью","А","6","GB/T70.1-2000"
"54","00771100110230000","Установка защитного кожуха","D","1",""
"55","00775600101801020","Пружина","А","1",""
"56","1040103173","Винт","А","2","GB/T70.1-2000"
"57","1040004522","Болт","А","1","JB/T5783-2000"
"58","00775600101801010","Личинка замка","А","1",""
"59","00771100110240000","Сварная деталь задней 
пластины","B","1",""
"60","1040201880","Гайка","А","1","JB/T802-1988"
"61","1999904986","Коробка для файлов","А","1","ZJ1145029"
"62","02562700100210000","Свариваемые изделия 
платформы","C","1",""
